book_title,author,llm_model,Prompt_type,crowd_label,question_generated
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Completion,"""Time to move,"" said Hermit Crab. ""My shell is getting too ____."""
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Completion,"When the hermit crab found a new shell, he thought it was a little too ____."
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Recall,What did the hermit crab do to make his new shell feel like a home?
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Recall,"At the end of the story, what did the little hermit crab do?"
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Wh-Question,Why did the hermit crab have to find a new house?
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Wh-Question,Who did the hermit crab ask to light up the dark ocean floor?
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Open-Ended,Tell me about how the hermit crab felt when he had to leave his beautiful shell.
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Open-Ended,Why do you think all the other sea animals wanted to help the hermit crab?
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Distancing,"What is something you have grown out of, like a piece of clothing or shoes?"
A House for a Hermit Crab,Eric Carle,gemini,ZeroShot,Distancing,"If you were decorating a house like the hermit crab, what would you put on it?"
Mister Seahorse,Eric Carle,gemini,ZeroShot,Completion,Mister Seahorse carried the eggs in his special ______.
Mister Seahorse,Eric Carle,gemini,ZeroShot,Completion,The fish hiding behind the rock looked just like a ______.
Mister Seahorse,Eric Carle,gemini,ZeroShot,Recall,What did Mister Tilapia carry in his mouth?
Mister Seahorse,Eric Carle,gemini,ZeroShot,Recall,Name one of the fish that was hiding behind the special see-through pages.
Mister Seahorse,Eric Carle,gemini,ZeroShot,Wh-Question,Where did Mister Seahorse keep the eggs to keep them safe?
Mister Seahorse,Eric Carle,gemini,ZeroShot,Wh-Question,"Who told Mister Seahorse, ""It's time for me to go""?"
Mister Seahorse,Eric Carle,gemini,ZeroShot,Open-Ended,How do you think Mister Seahorse felt when all the babies were born?
Mister Seahorse,Eric Carle,gemini,ZeroShot,Open-Ended,Tell me about your favorite dad in the story and what he did.
Mister Seahorse,Eric Carle,gemini,ZeroShot,Distancing,Have you ever seen a real fish hiding? Where was it?
Mister Seahorse,Eric Carle,gemini,ZeroShot,Distancing,The daddy fish in the book protect their babies. How do the grown-ups in your family keep you safe?
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Completion,The spider was very busy spinning her ____.
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Completion,The fly got caught in the web because it was very ____.
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Recall,What did the spider catch at the end of the story?
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Recall,Did the spider stop working to play with the animals?
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Wh-Question,Who asked the spider to go for a ride?
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Wh-Question,Why didn't the spider answer any of the animals?
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Open-Ended,Look at the finished web. Tell me all about it.
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Open-Ended,How do you think the spider felt when she finished her web?
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Distancing,Have you ever seen a real spider web? Where was it?
The Very Busy Spider,Eric Carle,gemini,ZeroShot,Distancing,The spider worked very hard. What is something you have worked hard on?
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Completion,"The mixed-up chameleon was very hungry, but he couldn't catch the ______."
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Completion,"At the beginning, the chameleon's life was not very ______."
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Recall,What color was the chameleon when it sat on a brown tree?
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Recall,Name one animal part the chameleon wished for.
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Wh-Question,Why was the chameleon sad at the start of the story?
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Wh-Question,What animal did the chameleon get its long neck from?
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Open-Ended,Tell me about what is happening in the picture where the chameleon is all mixed-up.
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Open-Ended,How do you think the chameleon felt when he couldn't eat the fly?
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Distancing,"If you could be like any animal, which animal would you choose to be?"
The Mixed-Up Chameleon,Eric Carle,gemini,ZeroShot,Distancing,Tell me about a time you were happy just to be yourself.
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Completion,"""I'd like a big pancake for..."""
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Completion,Jack churned the cream until it turned into...
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Recall,What was the first thing Jack had to get for his mother?
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Recall,What did Jack get from the spotted cow?
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Wh-Question,Who ground the wheat into flour for Jack?
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Wh-Question,What did Jack's mother cook the pancake in?
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Open-Ended,Why do you think it took so long for Jack to get his pancake?
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Open-Ended,Look at Jack's face at the end of the story. How do you think he feels?
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Distancing,Jack put strawberry jam on his pancake. What do you like to put on your pancakes?
"Pancakes, Pancakes!",Eric Carle,gemini,ZeroShot,Distancing,Jack helped make his own breakfast. What is a food you have helped make?
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Completion,The tenth little rubber duck met a mother duck and all her little _____.
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Completion,"The big boat sailed across the wide, wide _____."
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Recall,What fell off the big cargo ship into the water?
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Recall,Who did the last little rubber duck meet at the end of the book?
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Wh-Question,What animal is roaring at the rubber duck on this page?
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Wh-Question,Where were the rubber ducks made at the beginning of the story?
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Open-Ended,Tell me what is happening on this page with the big whale.
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Open-Ended,How do you think the little rubber duck felt when he was all alone?
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Distancing,Have you ever played with a rubber duck in the bathtub?
10 Little Rubber Ducks,Eric Carle,gemini,ZeroShot,Distancing,This duck saw a polar bear. What is another animal that lives where it is cold?
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Completion,The train is taking all the animals to the ______.
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Completion,Look at this page! There are three tall ______.
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Recall,What animal was in the very first train car?
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Recall,How many bears were in their train car?
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Wh-Question,What is pulling all the train cars to the zoo?
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Wh-Question,Where are all the animals at the end of the book?
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Open-Ended,Tell me everything you see happening on this page with the monkeys.
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Open-Ended,Look at the last page. Why do you think all the animals look so happy at the zoo?
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Distancing,Have you ever seen a real train? Where was it going?
"1,2,3 to the Zoo",Eric Carle,gemini,ZeroShot,Distancing,"If you could be one of the animals going to the zoo, which one would you be?"
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Completion,"And when the boy came back, the tree was so happy she could hardly speak and she whispered, ""Come, Boy, sit down. Sit down and ______."""
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Completion,"The boy wanted a boat to sail away, so he cut down her ______."
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Recall,What did the boy do with the tree's apples when he was a young man?
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Recall,"At the very end of the story, what was the only thing the old man needed from the tree?"
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Wh-Question,What did the boy carve into the tree's trunk when he was little?
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Wh-Question,Why was the tree happy?
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Open-Ended,Tell me about how the boy changed from the beginning of the story to the end.
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Open-Ended,How do you think the tree felt when the boy took her branches to build a house?
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Distancing,Can you think of a time you shared something to make a friend happy?
The Giving Tree,Shel Silverstein,gemini,ZeroShot,Distancing,What is a special way someone in your family shows that they love you?
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Completion,"When Iris put the lion in the bathtub, his long tail was sticking..."
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Completion,The lion was very good at playing the game hide-and-...
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Recall,What did Iris give the lion to wear so he could hide?
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Recall,Where did the lion sleep after Iris's parents said he could stay?
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Wh-Question,Why were the people in the town scared of the lion?
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Wh-Question,Who did the lion help at the very end of the story?
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Open-Ended,Look at the picture where the lion is in the bathtub. Tell me what you see.
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Open-Ended,How do you think Iris felt when her parents found the lion?
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Distancing,"If you found a friendly lion, where would you hide it in your house?"
How to Hide a Lion,Helen Stephens,gemini,ZeroShot,Distancing,Have you ever been scared of something that turned out to be nice?
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Completion,"When Max was sent to his room, a ________ grew there."
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Completion,"""And now,"" cried Max, ""let the wild ________ start!"""
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Recall,What did Max wear when he was making mischief?
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Recall,"After the wild rumpus, what did Max smell from far away?"
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Wh-Question,Where did Max go in his private boat?
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Wh-Question,Why was Max's mother angry with him?
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Open-Ended,Tell me about the wild things. What do they look like?
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Open-Ended,Why do you think Max wanted to come home?
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Distancing,Have you ever felt like a wild thing? What did you do?
Where the Wild Things Are,Maurice Sendak,gemini,ZeroShot,Distancing,"If your room turned into a new place, where would you want it to be?"
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Completion,Rosie the hen went for a walk across the...
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Completion,The fox got chased away by the angry...
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Recall,What was the first thing that got in the fox's way?
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Recall,What happened when the fox jumped in the haystack?
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Wh-Question,Who was following Rosie on her walk?
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Wh-Question,Where did Rosie go after she walked around the pond?
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Open-Ended,Look at this picture and tell me what is happening to the silly fox.
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Open-Ended,Why do you think Rosie never noticed the fox?
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Distancing,Rosie lives on a farm. Have you ever been to a farm?
Rosie's Walk,Pat Hutchins,gemini,ZeroShot,Distancing,Rosie went for a walk. Where do you like to go for a walk?
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Completion,"At the beginning of the story, Alma's name was so long it never __________."
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Completion,"Her daddy said, ""Let me tell you the story of your name. Then you will __________ it."""
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Recall,What did Alma draw on the paper when the story started?
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Recall,Who was the first family member Alma's daddy told her about?
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Wh-Question,Why did Alma feel her name was too long at the beginning of the story?
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Wh-Question,What did Alma's grandmother Sofia love to do?
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Open-Ended,Tell me about one of the people Alma was named after.
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Open-Ended,How do you think Alma felt about her name at the end of the story?
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Distancing,Do you know the story of your name?
Alma and How She Got Her Name,Juana Martinez-Neal,gemini,ZeroShot,Distancing,Alma loves to draw. What is something special that you love to do?
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Completion,"Mae's mom said, ""If you can dream it, if you believe in it and work hard for it, anything is ____."""
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Completion,"Little Mae dreamed of dancing in space, surrounded by billions of ____."
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Recall,What did Mae dream of becoming when she grew up?
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Recall,What did Mae's teacher tell her she should be instead of an astronaut?
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Wh-Question,Who helped Mae believe in her dream when she felt sad?
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Wh-Question,Why did Mae feel upset after talking to her teacher at school?
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Open-Ended,Tell me about the things Mae did to work hard for her dream.
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Open-Ended,How did Mae's parents help her feel better?
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Distancing,What is a big dream that you have?
Mae Among the Stars,Roda Ahmed,gemini,ZeroShot,Distancing,"If you could go to space like Mae, what is one thing you would want to see?"
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Completion,"Lubna's best friend was a smooth, grey __________."
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Completion,"At the end, Lubna gave her pebble to __________."
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Recall,What did Lubna draw on her pebble to give it a face?
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Recall,Where did Lubna and her Daddy live?
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Wh-Question,Who did Lubna meet after she had been there for a while?
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Wh-Question,Why did Lubna give her pebble away?
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Open-Ended,Tell me about the part when Lubna first meets Amir.
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Open-Ended,How do you think Amir felt when Lubna gave him Pebble?
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Distancing,Have you ever had a special toy that made you feel better?
Lubna and Pebble,Wendy Meddour,gemini,ZeroShot,Distancing,This book is about friendship. What is something you like to do with a friend?
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Completion,Arfy wrote letters because he was looking for a...
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Completion,"At the end, the mail carrier said Arfy was a very..."
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Recall,Who was the person who finally gave Arfy a home?
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Recall,"Tell me one place that told Arfy ""no""."
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Wh-Question,Where did Arfy live at the beginning of the book?
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Wh-Question,Why did Arfy write all those letters?
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Open-Ended,"How do you think Arfy felt when he kept getting letters that said ""no""?"
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Open-Ended,Tell me about the end of the story. What is happening in the picture?
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Distancing,"Have you ever wanted something very badly, like Arfy wanted a home?"
Can I Be Your Dog?,Troy Cummings,gemini,ZeroShot,Distancing,"If you could have any animal as a pet, what would you pick?"
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Completion,"When they got on the bus, Nana said, ""I feel sorry for those boys in that..."""
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Completion,"At the end of the story, CJ was glad they came to the last stop on Market ______."
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Recall,What did Nana call the rain?
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Recall,What kind of animal did the man on the bus have in a jar?
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Wh-Question,Who did CJ and his Nana meet on the bus?
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Wh-Question,Where are CJ and Nana going after they get off the bus?
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Open-Ended,Look at this picture. Tell me about all the different people on the bus.
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Open-Ended,Why do you think CJ is happy at the end of the story?
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Distancing,Have you ever ridden on a bus? What did you see?
Last Stop on Market Street,Matt de la Peña,gemini,ZeroShot,Distancing,Nana helped CJ find beautiful things. What is something beautiful you have seen today?
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Completion,This hat is not mine. I just...
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Completion,I am going where the plants are big and tall and...
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Recall,What did the little fish take from the big fish?
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Recall,Where did the little fish go to hide?
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Wh-Question,Who was sleeping when the little fish took the hat?
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Wh-Question,What animal saw the little fish swim by?
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Open-Ended,What do you think happened to the little fish in the tall plants?
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Open-Ended,Tell me why the little fish thought he would get away.
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Distancing,Is it okay to take something that isn't yours? Why?
This Is Not My Hat,Jon Klassen,gemini,ZeroShot,Distancing,Have you ever lost something special? How did you feel?
Watercress,Andrea Wang,gemini,ZeroShot,Completion,"The family stopped their old, rusty car on the side of the ______."
Watercress,Andrea Wang,gemini,ZeroShot,Completion,"At dinner, the mom told a story about a time when her family was very ______."
Watercress,Andrea Wang,gemini,ZeroShot,Recall,What did the family find growing in the ditch?
Watercress,Andrea Wang,gemini,ZeroShot,Recall,Did the girl want to help gather the watercress at first?
Watercress,Andrea Wang,gemini,ZeroShot,Wh-Question,Why did the mom know so much about watercress?
Watercress,Andrea Wang,gemini,ZeroShot,Wh-Question,What did the family eat for dinner at the end of the story?
Watercress,Andrea Wang,gemini,ZeroShot,Open-Ended,How did the girl's feelings change from the beginning of the book to the end?
Watercress,Andrea Wang,gemini,ZeroShot,Open-Ended,Tell me about the mother's story about when she was a little girl.
Watercress,Andrea Wang,gemini,ZeroShot,Distancing,Have you ever tried a new food? Tell me about it.
Watercress,Andrea Wang,gemini,ZeroShot,Distancing,Is there a special story that your family tells?
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Completion,"That night after eating all that food, the caterpillar had a ________."
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Completion,"At the end of the story, he turned into a beautiful ________."
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Recall,What came out of the little egg on the leaf?
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Recall,What did the caterpillar eat on Sunday that made him feel better?
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Wh-Question,What did the caterpillar build around himself?
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Wh-Question,What did the caterpillar eat on Monday?
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Open-Ended,Tell me about all the colors you see on the butterfly's wings.
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Open-Ended,How do you know the caterpillar was not hungry anymore?
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Distancing,What is a food that makes you feel very full?
The Very Hungry Caterpillar,Eric Carle,gemini,FewShot,Distancing,Have you ever seen a real butterfly? What did it look like?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Completion,I see a red bird looking at ____.
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Completion,The white dog saw a black ____.
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Recall,What animal did the blue horse see?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Recall,What color was the cat in the story?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Wh-Question,What animal does the brown bear see?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Wh-Question,Who does the teacher see?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Open-Ended,Tell me about what you see on the page with the green frog.
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Open-Ended,Look at the last page with all the animals. Which animal do you like best?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Distancing,The book has a yellow duck. Where have you seen a duck before?
Brown Bear Brown Bear What Do You See?,Eric Carle,gemini,FewShot,Distancing,Have you ever seen a horse in real life?
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Completion,The grouchy ladybug wanted to _______.
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Completion,The whale slapped the ladybug with its _______.
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Recall,What did the two ladybugs see on the leaf to eat?
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Recall,What did the grouchy ladybug say to the friendly ladybug at the end of the story?
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Wh-Question,Who was the biggest animal the ladybug met?
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Wh-Question,Where did the story begin?
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Open-Ended,How do you know the ladybug was feeling grouchy?
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Open-Ended,Tell me what happened when the ladybug came back to the leaf at the end of the day.
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Distancing,The ladybug felt grouchy. What makes you feel grouchy?
The Grouchy Ladybug,Eric Carle,gemini,FewShot,Distancing,The friendly ladybug shared her food. Tell me about a time you shared something with a friend.
A House for a Hermit Crab,Eric Carle,gemini,FewShot,Completion,"In January, the Hermit Crab felt that his house was too ______."
A House for a Hermit Crab,Eric Carle,gemini,FewShot,Completion,The hermit crab thought his new house looked too ______.
A House for a Hermit Crab,Eric Carle,gemini,FewShot,Recall,What did the starfish do to the hermit crab's house?
A House for a Hermit Crab,Eric Carle,gemini,FewShot,Recall,What happened when the hermit crab got too big for his shell?
A House for a Hermit Crab,Eric Carle,gemini,FewShot,Wh-Question,Who did the hermit crab meet in the forest of seaweed?
A House for a Hermit Crab,Eric Carle,gemini,FewShot,Wh-Question,What did the lanternfish help the hermit crab do?
A House for a Hermit Crab,Eric Carle,gemini,FewShot,Open-Ended,Tell me about all the friends on the hermit crab's shell.
A House for a Hermit Crab,Eric Carle,gemini,FewShot,Open-Ended,How do you think the small hermit crab felt when he got a new house?
A House for a Hermit Crab,Eric Carle,gemini,FewShot,Distancing,Have you ever moved to a new house or a new classroom?
